历年春晚,#genre#	
春晚1983,https://vd2.bdstatic.com/mda-nmgf0aiczefpbjyv/360p/h264/1671273368681637465/mda-nmgf0aiczefpbjyv.mp4	
春晚1984,http://txmov2.a.kwimgs.com/upic/2022/01/31/15/BMjAyMjAxMzExNTU5NTRfNDAzMDAxOTlfNjYyNzMyMzg3MTRfMF8z_b_B192356dadbc90d207ba16964d4c2914c.mp4
春晚1985,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMDFfNDAzMDAxOTlfNjYyNzMyNTAwMzJfMF8z_b_Be73c5abcbc0eeb2ec9fce6842e1362a4.mp
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8	
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8	
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8	
春晚1989,http://txmov2.a.kwimgs.com/upic/2022/01/31/16/BMjAyMjAxMzExNjAwMTVfNDAzMDAxOTlfNjYyNzMyNzQ2OTlfMF8z_b_Be477b27b9ce655d2372df56a5a3d96ef.
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8	
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8	
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8	
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8	
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8	
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8	
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8	
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8	
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8	
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8	
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8	
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8	
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8	
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8	
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8	
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8	
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8	
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8	
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8	
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8	
春晚2021,http://txmov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.	
春晚2022,http://txmov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp	
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8	

影视综合,#genre#
CHC动作电影,http://223.151.51.27:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CHC高清电影,http://111.20.40.171/PLTV/88888893/224/3221226463/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭电影,http://111.20.40.171/PLTV/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
da宋提刑官,https://epg.112114.xyz/huya/11279251
RM 刘在石李光洙跑男,https://epg.112114.xyz/huya/11336725
X档案,https://epg.112114.xyz/huya/20045465
Yes小哥的美食,https://epg.112114.xyz/huya/14363949
爱情公寓,https://epg.112114.xyz/huya/11336726
北京大蜜,http://epg.112114.xyz/douyu/805235
北京影视,https://wstvcpudali.v.myalicdn.com/wstvcpud/udrmbtv4_1/index.m3u8?adapt=0&BR=audio
滨海影视,http://traffic.jbh.tjbh.com/live/bhtv3/playlist.m3u8
超级综艺,http://117.169.121.162:6610/PLTV/88888910/224/3221225620/index.m3u8
超级综艺,http://117.169.121.162:6610/PLTV/88888910/224/3221225768/index.m3u8
陈翔六点半,https://epg.112114.xyz/huya/11274154
成龙,https://epg.112114.xyz/huya/11342386
厨神小当家,https://epg.112114.xyz/huya/24257300
慈善超人合集,https://epg.112114.xyz/huya/10871113
哒啵赛事,http://117.169.121.162:6610/PLTV/88888910/224/3221225653/index.m3u8
哒啵赛事,http://117.169.121.162:6610/PLTV/88888910/224/3221225749/index.m3u8
哒啵赛事,http://117.169.121.162:6610/PLTV/88888910/224/3221225750/index.m3u8
大片,https://epg.112114.xyz/huya/21059585
大秦帝国,https://epg.112114.xyz/huya/11602074
地下交通站,http://tx.flv.huya.com/src/1250011-1250011-5368756364640256-2789274572-10057-A-0-1.flv?wsSecret=e0e885fb33da8bcaef2f7098bb5ff23f&wsTime=61c072a4&uid=581998485&seqid=1640520620000.0&t=103&uuid=3036094092&ver=1&ctype=tars_mobile&sv=2110211124&ratio=2000
地下交通站,https://epg.112114.xyz/huya/11342433
邓超,https://epg.112114.xyz/huya/11336592
电ju惊魂系列,https://epg.112114.xyz/huya/11352903
电影,https://epg.112114.xyz/huya/618917
电影笔记,https://epg.112114.xyz/huya/16920222
谍战神剧,https://epg.112114.xyz/huya/11342436
东北热剧,http://117.169.121.162:6610/PLTV/88888910/224/3221226202/index.m3u8
动漫,http://epg.112114.xyz/douyu/6610883
动漫秀场,http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8
都市剧场,http://183.207.255.188/live/program/live/dsjchd/4000000/mnf.m3u8
豆瓣电影,http://epg.112114.xyz/douyu/8770422
封神演义,https://epg.112114.xyz/huya/19524135
冯小刚合集,https://epg.112114.xyz/huya/11352906
父母爱情,https://epg.112114.xyz/huya/11602071
港产搞笑,https://epg.112114.xyz/huya/11601960
港剧经典,https://epg.112114.xyz/huya/11352965
港式警匪片,https://epg.112114.xyz/huya/16424416
港台电影,https://epg.112114.xyz/huya/880261
高分电影,https://epg.112114.xyz/huya/16615910
搞笑僵尸片,https://epg.112114.xyz/huya/11352963
葛二蛋,https://epg.112114.xyz/huya/11602072
功夫片,http://epg.112114.xyz/huya/11352941
关灯看大片,https://epg.112114.xyz/huya/16135863
广东影视,http://218.17.216.102:9901/tsfile/live/1008_1.m3u8
国产青春爱情,https://epg.112114.xyz/huya/11602075
国语超清动画电影,http://epg.112114.xyz/douyu/6449849
海外剧场,http://117.169.121.162:6610/PLTV/88888910/224/3221225712/index.m3u8
海西影视,http://stream.haixitv.cn/1/sd/live.m3u8
海贼王,https://epg.112114.xyz/huya/16739452
海贼王15,https://epg.112114.xyz/huya/17941367
好莱坞,https://epg.112114.xyz/huya/21059587
河北影视,https://event.pull.hebtv.com/jishi/yingshijupindao.m3u8
河北影视,https://jwplay.hebyun.com.cn:443/live/hbystv/1500k/tzwj_video.m3u8
菏泽影视,http://live.hznet.tv:1935/live/live3/500K/tzwj_video.m3u8
黑帮斗争,https://epg.112114.xyz/huya/11342419
黑莓电影,http://117.169.121.162:6610/PLTV/88888910/224/3221225718/index.m3u8
黑莓电影,http://117.169.121.162:6610/PLTV/88888910/224/3221225764/index.m3u8
黑莓电影,http://117.169.121.162:6610/PLTV/88888910/224/3221225769/index.m3u8
黑莓动画,http://117.169.121.162:6610/PLTV/88888910/224/3221225672/index.m3u8
红海行动,https://epg.112114.xyz/huya/11601986
华语经典,http://epg.112114.xyz/douyu/434971
怀玉格格,https://epg.112114.xyz/huya/11352887
欢乐剧场,http://117.169.121.162:6610/PLTV/88888910/224/3221226210/index.m3u8
黄渤,https://epg.112114.xyz/huya/11352876
黄金配角廖启智,https://epg.112114.xyz/huya/21059562
火影忍者,https://epg.112114.xyz/huya/20236200
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8
吉林影视,http://stream1.jlntv.cn/yspd/sd/live.m3u8?_upt=f6b685651648171016
极限挑战,https://epg.112114.xyz/huya/11352914
家有儿女,https://epg.112114.xyz/huya/11352872
杰森·斯坦森,https://epg.112114.xyz/huya/21059588
今晚80后脱口秀,https://epg.112114.xyz/huya/11352961
金牌综艺,http://117.169.121.162:6610/PLTV/88888910/224/3221225711/index.m3u8
金庸,https://epg.112114.xyz/huya/11602082
金庸的武侠世界,https://epg.112114.xyz/huya/11342435
进来看看电影,https://epg.112114.xyz/huya/24376361
经典港整风整蛊电影,http://epg.112114.xyz/huya/11602058
经典高智商犯罪片,https://epg.112114.xyz/huya/11352962
经典好剧,https://epg.112114.xyz/huya/11602085
经典好片,https://epg.112114.xyz/huya/11342427
经典科幻动作灾难,http://epg.112114.xyz/douyu/252802
经典片,http://epg.112114.xyz/huya/11279251
经典神剧,http://epg.112114.xyz/douyu/3700024
经典喜剧片,https://epg.112114.xyz/huya/11352894
经典影片,https://epg.112114.xyz/huya/15267139
精彩不断,https://epg.112114.xyz/huya/24396428
精品大剧,http://117.169.121.162:6610/PLTV/88888910/224/3221225714/index.m3u8
精品纪录,http://117.169.121.162:6610/PLTV/88888910/224/3221225710/index.m3u8
精品体育,http://117.169.121.162:6610/PLTV/88888910/224/3221225648/index.m3u8
精品体育,http://117.169.121.162:6610/PLTV/88888910/224/3221225709/index.m3u8
精忠岳飞南征北战,https://epg.112114.xyz/huya/11336578
警匪,https://epg.112114.xyz/huya/11352886
军旅剧场,http://117.169.121.162:6610/PLTV/88888910/224/3221225669/index.m3u8
军事武器分析,https://epg.112114.xyz/huya/15824466
开心快乐就完事了,https://epg.112114.xyz/huya/11342388
看救援电影,https://epg.112114.xyz/huya/21059586
康熙王朝,https://epg.112114.xyz/huya/11352940
康熙微服私访,https://epg.112114.xyz/huya/11342418
康熙微服私访记,http://tx.flv.huya.com/src/1250011-1250011-5368756364640256-2789274536-10057-A-0-1.flv?wsSecret=ea31e98767cb86af25e5a8195a41226c&wsTime=61c07294&uid=581998485&seqid=1640520618000.0&t=103&uuid=3033579190&ver=1&ctype=tars_mobile&sv=2110211124&ratio=2000
抗战剧场,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c54_lb_163_600_t10/c54_lb_163_600_t10.m3u8
科幻电影,https://epg.112114.xyz/huya/11602034
科幻动作电影,https://epg.112114.xyz/huya/16914870
科幻动作经典喜剧,http://epg.112114.xyz/douyu/4332
科幻片,https://epg.112114.xyz/huya/17904870
科幻影视,http://epg.112114.xyz/douyu/3508304
恐怖电影2,http://epg.112114.xyz/douyu/310926
恐怖电影找力哥,https://epg.112114.xyz/huya/23419131
篮qiu火,https://epg.112114.xyz/huya/21059558
李连杰,https://epg.112114.xyz/huya/11342390
溧水影视,http://live.lsrmw.cn/ysyl/sd/live.m3u8
辽宁影视剧,http://42.176.185.28:9901/tsfile/live/1012_1.m3u8
林正英,https://epg.112114.xyz/huya/11342421
林正英,https://epg.112114.xyz/huya/18441722
林正英,https://epg.112114.xyz/huya/21388479
令狐冲&东方不败,https://epg.112114.xyz/huya/11601962
刘德华,http://al.flv.huya.com/src/1394575547-1394575547-5989656366166310912-2789274550-10057-A-0-1.flv?wsSecret=a881c0a0a9a25574ccf1e0243ae557fd&wsTime=62f3b3aa&u=0&seqid=16600520102554650&ctype=tars_mp&txyp=o%3Az16%3B&fs=bgct&sphdcdn=al_7-tx_3-js_3-ws_7-bd_2-hw_2&sphdDC=huya&sphd=264_*-265_*&t=102
刘德华,https://epg.112114.xyz/huya/11342424
刘德华电影2,http://epg.112114.xyz/douyu/8985415
龙门镖局,https://epg.112114.xyz/huya/11352874
龙珠,https://epg.112114.xyz/huya/18632116
隆化影视,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/HasBahCa.m3u8
隆化影视,http://hblh.chinashadt.com:2036/live/stream:lh2.stream/playlist.m3u8
路飞,https://epg.112114.xyz/huya/16913382
骆驼祥子,https://epg.112114.xyz/huya/19450129
麻雀,https://epg.112114.xyz/huya/11352881
漫威电影,http://epg.112114.xyz/douyu/4282654
猫和老鼠,https://epg.112114.xyz/huya/11352879
每日影院,http://beifeng.site:4000/udp/239.3.1.111:8001
美食纪录片,https://epg.112114.xyz/huya/11352955
芈月传,https://epg.112114.xyz/huya/11352975
名侦探柯南,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c54_lb_157_600_t10/c54_lb_157_600_t10.m3u8?key=0b292c335e5837e948e91dd5d11efa525
明星大片,http://117.169.121.162:6610/PLTV/88888910/224/3221225716/index.m3u8
命案十三宗,https://epg.112114.xyz/huya/11601981
魔法世界,https://epg.112114.xyz/huya/21059580
沫漾电影,https://epg.112114.xyz/huya/15556391
母亲为爱展开复仇,https://epg.112114.xyz/huya/16626185
南京影视,http://live.nbs.cn/channels/njtv/xxpd/m3u8:500k/live.m3u8
南宁影视,http://hls.nntv.cn/nnlive/NNTV_VOD_A.m3u8
浓浓当年情,https://epg.112114.xyz/huya/11602065
女神系列,https://epg.112114.xyz/huya/11336571
欧美电影,https://epg.112114.xyz/huya/11352880
欧美电影,https://epg.112114.xyz/huya/21059581
欧美娱乐,https://epg.112114.xyz/huya/21059574
票房冠军,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c56_lb_184_600_t10/c56_lb_184_600_t10.m3u8?key
平泉影视,https://jwliveqxzb.hebyun.com.cn/pqys/pqys.m3u8
倩女幽魂,https://epg.112114.xyz/huya/11601970
情深深雨濛濛,https://epg.112114.xyz/huya/11352885
庆余年,https://epg.112114.xyz/huya/11352960
权力的游戏,https://epg.112114.xyz/huya/17943364
全纪实,http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8
让子弹飞,https://epg.112114.xyz/huya/11259843
热播剧场,http://bj.new1cloud.com/bdcdncmn3-inter-71edge-com.new1cloud.com/tslive/c57_lb_212_600_t10/c57_lb_212_600_t10.m3u8?key
